Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AAX54694.1	AY954516	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAA74573.1	Y14156	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV28215.2	AY750914.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAY43008.1	DQ023162	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAY84742.1	DQ061159	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAZ14955.1	DQ102702	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAA07082.1	D37830	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAA28282.1	D89862	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97956.1	AY847147	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97952.1	AY847143	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97953.1	AY847144	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97954.1	AY847145	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAC32890.1	U95364	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97955.1	AY847146	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABA62022.1	DQ211987	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABB17185.1	DQ223685	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABB72225.1	DQ268764	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABC18328.3	DQ303459	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABI34705.1	DQ885477	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABN48311.1	EF374097	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABM97538.1	EF210159	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABD73290.1	DQ408762	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAA06311.1	AJ005044	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAL80726.1	AM411407	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABN09669.1	EF219142	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABP04245.1	EF219134	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAD90119.1	AB205197	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAF63422.1	AB284167	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABN69105.1	EF418608	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABQ45409.1	EF576988	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABS90365.1	EF581888	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABV81082.1	EU177100	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABY91281.1	EU402393	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAA06312.1	AJ005045	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACV92002.1	FJ815436	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97957.1	AY847148	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACS32293.1	GQ149243	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACS32294.1	GQ149244	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAQ42486.1	AM982520	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAQ42480.1	AM982521	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAQ42481.2	AM982522	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABO09821.1	EF426798	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAF04388.1	AF189721	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABW86620.2	EU202673	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABV57756.3	EU136031	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABB59946.1	DQ256091	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACI29345.1	FJ214366	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACI29346.1	FJ214367	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACI29347.1	FJ214368	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACI29348.1	FJ214369	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACB41777.1	EU545409	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACP18863.1	FJ873739	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACR56321.1	FJ971899	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAF05311.2	AF174129	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACQ99521.1	FJ907381	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACX34099.1	GQ870432	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACY74743.1	GU127598	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADN26580.1	HQ166709	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADK11041.1	HM167760	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CBL80615.1	FN813245	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAG28417.1	AJ704396	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADO17948.1	HM755448	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADL27532.1	HM803271	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAN62561.1	AY168442.1	van ligase	glycopeptide antibiotic	antibiotic target alteration
CAC19929.1	AJ400733.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AHG97174.1	KF976462	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AHW42429.1	KJ363320	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAA90683.1	Z50802	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ACI32877.1	EU780012	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AHB39758.1	KF534911	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAK60186.1	AF174129	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ABG91835.1	DQ838665	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAC81324.1	AJ310778	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAE53424.1	AJ605332	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAP69659.1	AM932669	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAX16467.1	FM957884	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAG34233.2	AJ746361	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAI99385.1	AJ972619	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ABB71176.1	DQ267940	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAL48457.1	AM403715	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAX84553.1	AY973253.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAA25550.1	J03306	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ABB89122.1	DQ278190	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ACS44716.1	FJ854362	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AHV80711.1	KJ174469	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAN41433.1	AY139601	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
FAA00064.1	BR000038	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ACR57831.1	GQ150744	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ADO00942.1	GU060319	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAO04716.1	AE015929	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAA85213.1	U43152	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
EOD99669.1	AIIS01000002.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAD01868.1	AF028812	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
BAE15963.1	AB205645	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CBL80435.1	FN812951	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAA76196.1	Y16410	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AJO16043.1	KP050490	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
CDL68900.1	HG798963	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76108.1	KM087855	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76107.1	KM087854	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76106.1	KM087853	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76105.1	KM087852	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76103.1	KM087850	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76094.1	KM087841	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76102.1	KM087849	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AAG36927.1	AF259520	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76101.1	KM087848	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76100.1	KM087847	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AIT76109.1	KM087856	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AAR87489.1	AY494945	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AEL22919.1	JF273491	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
ADT91161.1	HQ322612	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
ADQ00385.1	HQ456945	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AGC92784.1	KC004136	DIM beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation
NP_418157.1	NC_000913.3	DnaA chromosomal replication initiation protein	rifamycin antibiotic	antibiotic target protection
AGQ48857.1	KF010779.1	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic;streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux
AAN32638.1	AF416700	EBR beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AHH86051.1	KC771276.1	Edeine acetyltransferase	peptide antibiotic;polyamine antibiotic	antibiotic inactivation
BAG75524.1	AB467372.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic	antibiotic efflux
NP_217362.1	NC_000962.3	major facilitator superfamily (MFS) antibiotic efflux pump	rifamycin antibiotic;isoniazid	antibiotic efflux
CDO61513.1	HG970100.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;rifamycin antibiotic	antibiotic efflux
CDO61516.1	HG970103.1	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;rifamycin antibiotic	antibiotic efflux
BAC11911.1	AB091338	multidrug and toxic compound extrusion (MATE) transporter	acridine dye	antibiotic efflux
BAA16547.1	AP009048	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
AAC75733.1	U00096	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
EFF04178.1	GG749185.1	major facilitator superfamily (MFS) antibiotic efflux pump	N/A	antibiotic efflux
BAA11236.1	D78168	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
NP_417169.1	NC_000913.3	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
BAA11237.1	D78168	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CAC35723.1	AJ306389.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
AAK11270.1	AF335467	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic
ABG77965.1	DQ679966	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
AFK13827.1	JQ727667	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
AEA93051.1	CP002621.1	daptomycin resistant cls	peptide antibiotic	antibiotic target alteration
NP_815496	NC_004668	daptomycin resistant drmA	peptide antibiotic	antibiotic target alteration
NP_815586	NC_004668	daptomycin resistant gdpD	peptide antibiotic	antibiotic target alteration
WP_002389492	NZ_CP014949	daptomycin resistant gshF	peptide antibiotic	antibiotic target alteration
AAO82601.1	AE016830	daptomycin resistant liaF	peptide antibiotic	antibiotic target alteration
NP_816529	NC_004668	daptomycin resistant liaR	peptide antibiotic	antibiotic target alteration
AAO82600.1	AE016830	daptomycin resistant liaS	peptide antibiotic	antibiotic target alteration
NP_815456	NC_004668	daptomycin resistant YvlB	peptide antibiotic	antibiotic target alteration
WP_002356022	NZ_CP014949	daptomycin resistant YybT	peptide antibiotic	antibiotic target alteration
ALL09868	CP013009	daptomycin resistant cls	peptide antibiotic	antibiotic target alteration
YP_006374661.1	NC_017960.1	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
CUX99269.1	LN999844.1	daptomycin resistant liaF	peptide antibiotic	antibiotic target alteration
AFK58562.1	CP003583	daptomycin resistant liaR	peptide antibiotic	antibiotic target alteration
AFK58561.1	CP003583	daptomycin resistant liaS	peptide antibiotic	antibiotic target alteration
AAZ91706.1	DQ157752	macrolide esterase	macrolide antibiotic	antibiotic inactivation
AAC78336.1	AF099140	macrolide esterase	macrolide antibiotic	antibiotic inactivation
CAA01212.1	A15097	macrolide esterase	macrolide antibiotic	antibiotic inactivation
AAC69328.1	AF079138	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAC69327.1	AF079138	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
NP_899170.1	NC_005076	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAP74657.1	AY234334	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAK07612.2	AF319779.2	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAL68827.1	AF462611	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
CCP44758.1	AL123456	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAN86837.2	AY154657.2	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAR92235.1	AY487229	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
ABW06859.1	EU177504	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
CBY77552.1	FR734406	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
CCF55073.1	HE650138	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
CUU67654.1	LN623525.1	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
ANZ79476.1	KU612222.1	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
YP_001315192.1	NC_009632	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAF86219.1	AF242872	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA98296.1	M12730	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA22597.1	L08389	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
CAB60001.1	X51891	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA88675.1	M17124	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAC37034.1	L42817	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAC32026.1	M16503	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
CAA66307.2	X97721.2	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
CAA11706.1	AJ223970	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAC36915.1	L22689	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
ALX06067.1	CP011502.1	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA26742.1	M19269	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAA98096.1	M64090	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
CAA44667.1	X62867	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAB51440.1	U59450	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
BAA03402.1	D14532	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
AAG03357.1	AF024666	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
BAB20748.1	AB014481	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
NP_414996.1	NC_000913.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
NP_414997.1	NC_000913.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
NP_418574.1	NC_000913.3	ampC-type beta-lactamase	cephalosporin;penam	antibiotic inactivation
ANK04473.1	CP015085.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
CDJ73082	HG738867	cya adenylate cyclase	fosfomycin	antibiotic target alteration
NP_417798.1	NC_000913.3	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
AAA50993.1	AH002539.2	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
AAN82549.1	AE014075	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
CAA77936.1	Z11877.1	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
NP_415611.1	NC_000913.3	antibiotic resistance fabG	triclosan	antibiotic target alteration
NP_415804.1	NC_000913.3	antibiotic resistant fabI	isoniazid;triclosan	antibiotic target alteration
YP_491362.1	NC_007779	sulfonamide resistant dihydropteroate synthase folP	sulfonamide antibiotic;sulfone antibiotic	antibiotic target alteration
CDJ72593	HG738867	GlpT	fosfomycin	antibiotic target alteration
AAC75291.1	U00096	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
AAC75291.1	U00096.3	triclosan resistant gyrA	triclosan	antibiotic target alteration
BAE77595.1	AP009048	aminocoumarin resistant gyrB	aminocoumarin antibiotic	antibiotic target alteration
BAB38442	BA000007	Sugar Porin (SP)	fluoroquinolone antibiotic;tetracycline antibiotic	reduced permeability to antibiotic;resistance by absence
AAC74603.2	U00096	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
AFH35853.1	JQ394987	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic;benzalkonium chloride;rhodamine	antibiotic efflux
NP_310518	NC_002695	MipA-interacting Protein	fluoroquinolone antibiotic;aminoglycoside antibiotic	reduced permeability to antibiotic;resistance by absence
AIL15701	CP009072	murA transferase	fosfomycin	antibiotic target alteration
NP_415372.1	NC_000913.3	antibiotic resistant nfsA	nitrofuran antibiotic	antibiotic target alteration
NP_415110.1	NC_000913.3	antibiotic resistant nfsB	nitrofuran antibiotic	antibiotic target alteration
NP_415449.1	NC_000913.3	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic
AAC76055.1	U00096	fluoroquinolone resistant parC;fluoroquinolone self resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
YP_491222.1	NC_007779	fluoroquinolone resistant parE	fluoroquinolone antibiotic	antibiotic target alteration
CDJ72759	HG738867	PtsI phosphotransferase	fosfomycin	antibiotic target alteration
NP_418813.1	NC_000913.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
NP_312937.1	NC_002695	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement
AAC77033.1	U00096	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
NP_418486.1	NC_000913	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump;General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan;penem	antibiotic target alteration;antibiotic efflux;reduced permeability to antibiotic
CDJ73205	HG738867	UhpT;UhpA	fosfomycin	antibiotic target alteration
CDJ73208	HG738867	UhpT	fosfomycin	antibiotic target alteration
AJP77085	KP109681	ESP beta-lactamase	carbapenem	antibiotic inactivation
NP_311275.1	NC_002695	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam;tetracycline antibiotic	antibiotic efflux
AAC75429.1	U00096	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam;tetracycline antibiotic	antibiotic efflux
AAA26775.1	M28303	EXO beta-lactamase	penam	antibiotic inactivation
AFK80333.1	JQ768046	major facilitator superfamily (MFS) antibiotic efflux pump	elfamycin antibiotic	antibiotic efflux
NP_273367.1	NC_003112.2	major facilitator superfamily (MFS) antibiotic efflux pump	antibacterial free fatty acids	antibiotic efflux
NP_273368.1	NC_003112.2	major facilitator superfamily (MFS) antibiotic efflux pump	antibacterial free fatty acids	antibiotic efflux
CAD70268.1	AJ549214	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
CAB96921.1	Y17896	FEZ beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAG16656.1	AF231986	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
BAA32493.1	AB016934	Fom phosphotransferase family	fosfomycin	antibiotic inactivation
BAA32494.1	AB016934	Fom phosphotransferase family	fosfomycin	antibiotic inactivation
NP_249820.1	NC002516	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
ACC85616.1	EU487198	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
AEG78825.1	JF411006	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
BAP18892.1	AB908992	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
AJE60855.1	KP143090	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
WP_069174570.1	NG_051497.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
KKE03230.1	LAPJ01000014.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
NP_831795.1	NC_004722.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
ADX95999.1	HQ219726	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
CAA83855.1	Z33413	fosC phosphotransferase family	fosfomycin	antibiotic inactivation
BAJ10053.1	AB522969	fosC phosphotransferase family	fosfomycin	antibiotic inactivation
